Replacer l'économie au service du vivant,
Début de la consultation : 05/05/2020,
Fin de la consultation : 31/05/2020,
Total abonnés : 57,
Total contributions : 60,
Idées ,Soutiens
"En ville, nous pouvons développer fortement une agriculture urbaine",12
"A la campagne, nous pouvons troquer les grandes exploitations monocultures par de petites parcelles.",12
"Le consommateur a également son rôle à jouer, en soutenant cette agriculture locale et écologique,",12
"L'appui scientifique de pointe qui pourrait être apporté aujourd'hui permettrait sans doute d'optimiser encore ces cultures respectueuses, pour former le meilleur de ce qui est possible au XXIe siècle.",1
Pour moi le revenu universelle doit pouvoir aider à baisser le coût de la petite main d'oeuvre avec un objectif de simplifier toute les administration...tout est lié.,1
On peut aussi favoriser le télétravail qui permet de faire des pauses en s'occupant du potager. ,1
"Replanter des forêts sur tous les terrains non exploités par l'agriculture, en montagne et en plaine",0
Proposer à chaque entreprise de nommer un écologue dans chaque entreprise. Ou à défaut un écologue partagé pour les plus petites? ,12
"Pour rendre les salariés acteurs, ajouter un ""E"" au CSE (""Comité Social Economique"" )pour qu'il devienne ""Comité Social Ecologique Economique""",10
Dans toutes les entreprises ayant un CSE rendre obligatoire un commission écologique ou environnementale.,10
Dans le milieu rural il serait souhaitable que chaque communauté de communes crée une commission pour discuter de la biodiversité.,10
"Sélectionner les pesticides, oui. Interdire les pesticides, non.",0
"Sélectionner les OGM, oui. Interdire les OGM, non.",0
Accepter des prix de vente sensiblement plus élevés pour que les agriculteurs gagnent décemment leur vie,1
Peut-être que nous pourrions être en mesure d'analyser les déchets organiques des villes avant de les réutiliser en engrais ?,0
Chaque communauté de communes crée une commission pour discuter de la biodiversité,10
Il faut interdire l'usage des pesticides,9
Il faut arrêter de détruire les milieux naturels pour y construire des zones industrielles ou commerciales.,9
L’instauration du télétravail depuis des écolieux d’entreprises,9
Innover et investir en préservant et en se servant de l'existant.,8
"Il est impératif de construire sur l'existant, de rénover les bâtiments, de réhabiliter des ruines et des friches industrielles . ",8
"Sur des terres agricoles, naturelles ou forestières, : Zéro construction d'usine,  zéro implantation industrielle ou commerciale, zéro lotissement, zéro nouveau bâtiment.",8
Alimentation de saison au sein de l'entreprise pour sensibiliser les salariés au manger mieux.,6
Adaptation du biorythme des salariés aux saisons (hiver : semaine de 4 jours / siestes).,6
Il faut aussi que les clients des entreprises respectent un rythme de vie acceptables pour les salariés,0
Alignement des cycles du business à ceux de la nature (hiver : incubation ; printemps : émergence ; automne : récolte).,6
L'engagement des collaborateurs (RH) via les bootcamps et du team building doivent être adaptés à la saison.,6
Notre idée pour favoriser la mise en place d’un diagnostic d’impact dans nos entreprises est un label B-Corp de la biodiversité (ou intégrer la biodiversité au label B-Corp existant). ,5
Notre idée phare pour favoriser la connexion de nos entreprises au vivant est un diagnostic terrain sous forme d’atelier collaboratif. ,5
Il faut arrêter de raser les friches industrielles. C'est là qu'on a le plus de diversité.,1
Proposition : voir des papillons voler dans les tours de la Défense. Via des élevages (pérenne) ou des actions de sensibilisation  ponctuelles.,3
Il faut désormais créer des financements publiques supplémentaires pour l'éco-conception dans la R&D.,2
Imposer aux laboratoires publiques de structurer la recherche autour de plateformes de transversales de transition écologique,2
"Dans le privé, cela implique une obligation de dédier une part majoritaire des budgets à la réduction de l'empreinte écologique et à l'innovation de produits et solutions durables",2
C'est un modèle culturel qu'il faut faire évoluer.,0
"Il est urgent d'intégrer ce sujet à la formation de nos enfants depuis le plus jeune âge, jusqu'à la sortie du lycée.",0
"En parallèle, il faut arriver à éradiquer le phénomène de lobbying qui sape le terrain en permanence.",0
"Développer des programmes de rénovation favorisant l'efficacité énergétique pour des bâtiments existants, qui peut-être reviendraient moins chers que du neuf.",2
"Cela passe aussi par se voir comme autre chose que comme des ""citoyens consommateurs""",3
"Les inégalités sociales recoupent aussi des inégalités environnementales, et les deux combats doivent aller de pair.",3
Etre guidée dans mes achats avec une labéllisation plus poussée,3
Plus de transparence de manière générale de la part des entreprises,3
Un label qui mesure l'impact du produit acheté sur la biodiversité avec un code couleur par exemple,0
"Il serait plus intelligent d'enterrer le plus possible les reseaux électriques, dont le maillage défigure les paysages, et cela donnerait, partout, du travail aux entreprises locales, et même, pour longtemps",1
Oui à des centrales solaires à base de miroirs pour concentrer les rayons du soleil pour alimenter une turbine à eau. Aucun besoin de terres rares extraites et produites avec un impact environnemental catastrophique.,0
"Il faut créer des forêts urbaines à base d'essences locales et résistantes aux canicules, créer des couverts végétaux dans les rues et sur les immeubles.",1
"Végétaliser le sol, les maison/immeubles, les toitures, mettre des mares partout , mettre des nichoirs sur les maisons, bâtiments (hirondelles, martinets noirs, chauves-souris , moineaux, rouge queue etc), ne plus mettre d'insecticides, nul part, ni de pesticides, interdire la chasse abusive ",1
